"year","houdist_id","muni_name"
"2025","MIDDLE36","TYNGSBOROUGH"
"2025","MIDDLE37","ACTON"
"2025","MIDDLE37","AYER"
"2025","MIDDLE37","BOXBOROUGH"
"2025","MIDDLE37","GROTON"
"2025","MIDDLE37","HARVARD"
"2025","MIDDLE37","SHIRLEY"
"2025","NORFOLK01","QUINCY"
"2025","NORFOLK01","RANDOLPH"
"2025","NORFOLK02","QUINCY"
"2025","NORFOLK03","HOLBROOK"
"2025","NORFOLK03","QUINCY"
"2025","NORFOLK03","WEYMOUTH"
"2025","NORFOLK04","HINGHAM"
"2025","NORFOLK04","WEYMOUTH"
"2025","NORFOLK05","BRAINTREE"
"2025","NORFOLK05","HOLBROOK"
"2025","NORFOLK06","AVON"
"2025","NORFOLK06","CANTON"
"2025","NORFOLK06","STOUGHTON"
"2025","NORFOLK07","MILTON"
"2025","NORFOLK07","RANDOLPH"
"2025","NORFOLK08","MANSFIELD"
"2025","NORFOLK08","SHARON"
"2025","NORFOLK08","STOUGHTON"
"2025","NORFOLK08","WALPOLE"
"2025","NORFOLK09","MEDFIELD"
"2025","NORFOLK09","MILLIS"
"2025","NORFOLK09","NORFOLK"
"2025","NORFOLK09","PLAINVILLE"
"2025","NORFOLK09","WALPOLE"
"2025","NORFOLK09","WRENTHAM"
"2025","NORFOLK10","FRANKLIN"
"2025","NORFOLK10","MEDWAY"
"2025","NORFOLK11","DEDHAM"
"2025","NORFOLK11","WALPOLE"
"2025","NORFOLK11","WESTWOOD"
"2025","NORFOLK12","NORWOOD"
"2025","NORFOLK12","WALPOLE"
"2025","NORFOLK13","DOVER"
"2025","NORFOLK13","MEDFIELD"
"2025","NORFOLK13","NEEDHAM"
"2025","NORFOLK14","LINCOLN"
"2025","NORFOLK14","WELLESLEY"
"2025","NORFOLK14","WESTON"
"2025","NORFOLK15","BROOKLINE"
"2025","PLY01","PLYMOUTH"
"2025","PLY02","CARVER"
"2025","PLY02","MIDDLEBOROUGH"
"2025","PLY02","WAREHAM"
"2025","PLY03","COHASSET"
"2025","PLY03","HINGHAM"
"2025","PLY03","HULL"
"2025","PLY04","MARSHFIELD"
"2025","PLY04","NORWELL"
"2025","PLY04","SCITUATE"
"2025","PLY05","HANOVER"
"2025","PLY05","HANSON"
"2025","PLY05","NORWELL"
"2025","PLY05","ROCKLAND"
"2025","PLY06","DUXBURY"
"2025","PLY06","HALIFAX"
"2025","PLY06","HANSON"
"2025","PLY06","MARSHFIELD"
"2025","PLY06","PEMBROKE"
"2025","PLY07","ABINGTON"
"2025","PLY07","EAST BRIDGEWATER"
"2025","PLY07","WHITMAN"
"2025","PLY08","BRIDGEWATER"
"2025","PLY08","RAYNHAM"
"2025","PLY09","BROCKTON"
"2025","PLY09","EAST BRIDGEWATER"
"2025","PLY09","EASTON"
"2025","PLY09","WEST BRIDGEWATER"
"2025","PLY10","BROCKTON"
"2025","PLY11","BROCKTON"
"2025","PLY12","HALIFAX"
"2025","PLY12","KINGSTON"
"2025","PLY12","MIDDLEBOROUGH"
"2025","PLY12","PEMBROKE"
"2025","PLY12","PLYMOUTH"
"2025","PLY12","PLYMPTON"
"2025","SUFFOLK01","BOSTON"
"2025","SUFFOLK02","BOSTON"
"2025","SUFFOLK02","CAMBRIDGE"
"2025","SUFFOLK02","EVERETT"
"2025","SUFFOLK03","BOSTON"
"2025","SUFFOLK04","BOSTON"
"2025","SUFFOLK05","BOSTON"
"2025","SUFFOLK06","BOSTON"
"2025","SUFFOLK07","BOSTON"
"2025","SUFFOLK08","BOSTON"
"2025","SUFFOLK09","BOSTON"
"2025","SUFFOLK10","BOSTON"
"2025","SUFFOLK10","BROOKLINE"
"2025","SUFFOLK11","CHELSEA"
"2025","SUFFOLK11","EVERETT"
"2025","SUFFOLK12","BOSTON"
"2025","SUFFOLK12","MILTON"
"2025","SUFFOLK13","BOSTON"
"2025","SUFFOLK14","BOSTON"
"2025","SUFFOLK15","BOSTON"
"2025","SUFFOLK16","REVERE"
"2025","SUFFOLK16","SAUGUS"
"2025","SUFFOLK17","BOSTON"
"2025","SUFFOLK17","BROOKLINE"
"2025","SUFFOLK18","BOSTON"
"2025","SUFFOLK18","CAMBRIDGE"
"2025","SUFFOLK19","REVERE"
"2025","SUFFOLK19","WINTHROP"
"2025","WOR01","HOLDEN"
"2025","WOR01","PAXTON"
"2025","WOR01","PRINCETON"
"2025","WOR01","RUTLAND"
"2025","WOR01","WESTMINSTER"
"2025","WOR02","ASHBURNHAM"
"2025","WOR02","GARDNER"
"2025","WOR02","TEMPLETON"
"2025","WOR02","WINCHENDON"
"2025","WOR03","FITCHBURG"
"2025","WOR03","LUNENBURG"
"2025","WOR04","LEOMINSTER"
"2025","WOR05","BARRE"
"2025","WOR05","BROOKFIELD"
"2025","WOR05","EAST BROOKFIELD"
"2025","WOR05","HARDWICK"
